IDdistrict,year,month,day,maxtemp,mintemp,sunnyhours,daytype
1-1-1-1,2020,5,13,19,-7,5,CLOUDY
1-1-1-1,2020,5,14,29,19,12,SUNNY
1-1-1-1,2020,5,15,48,33,4,RAINY
1-1-1-1,2020,5,16,42,16,9,SUNNY
1-1-1-1,2020,5,17,-3,-10,6,SUNNY
1-1-1-1,2020,5,18,8,-3,8,SUNNY
1-1-1-1,2020,5,19,32,-7,9,SNOWY
1-1-1-1,2020,5,20,9,-3,1,SNOWY
1-1-1-1,2020,5,21,21,11,6,SNOWY
1-1-1-1,2020,5,22,-7,-9,5,CLOUDY
1-1-1-1,2020,5,23,-6,-10,1,SUNNY
1-1-1-1,2020,5,24,2,-1,4,SUNNY
1-1-1-1,2020,5,25,9,1,0,RAINY
1-1-1-1,2020,5,26,40,34,7,SUNNY
1-1-1-1,2020,5,27,20,4,12,SNOWY
1-1-1-1,2020,5,28,10,5,6,SNOWY
1-1-1-1,2020,6,1,-6,-10,11,SNOWY
1-1-1-1,2020,6,2,15,8,0,SNOWY
1-1-1-1,2020,6,3,28,0,3,SUNNY
1-1-1-1,2020,6,4,42,9,4,RAINY
1-1-1-1,2020,6,5,-2,-9,7,CLOUDY
1-1-1-1,2020,6,6,45,19,11,RAINY
1-1-1-1,2020,6,7,36,34,10,SNOWY
1-1-1-1,2020,6,8,4,-1,9,SUNNY
1-1-1-1,2020,6,9,16,11,7,RAINY
1-1-1-1,2020,6,10,49,8,12,RAINY
1-1-1-1,2020,6,11,28,-5,1,SNOWY
1-1-1-1,2020,6,12,-4,-9,6,SUNNY
1-1-1-1,2020,6,13,24,-1,8,CLOUDY
1-1-1-1,2020,6,14,26,-8,9,RAINY
1-1-1-1,2020,6,15,0,-3,10,RAINY
1-1-1-1,2020,6,16,32,28,3,CLOUDY
1-1-1-1,2020,6,17,44,29,0,SUNNY
1-1-1-1,2020,6,18,39,9,12,SUNNY
1-1-1-1,2020,6,19,-2,-4,5,CLOUDY
1-1-1-1,2020,6,20,47,17,9,SUNNY
1-1-1-1,2020,6,21,34,12,9,CLOUDY
1-1-1-1,2020,6,22,29,27,0,CLOUDY
1-1-1-1,2020,6,23,42,25,2,SUNNY
1-1-1-1,2020,6,24,16,-4,12,SNOWY
1-1-1-1,2020,6,25,4,-10,10,RAINY
1-1-1-1,2020,6,26,22,2,12,CLOUDY
1-1-1-1,2020,6,27,14,-5,10,SNOWY
1-1-1-1,2020,6,28,-1,-7,0,SUNNY
1-1-1-1,2020,7,1,21,8,5,SUNNY
1-1-1-1,2020,7,2,-7,-8,10,RAINY
1-1-1-1,2020,7,3,36,14,6,SUNNY
1-1-1-1,2020,7,4,39,22,3,RAINY
1-1-1-1,2020,7,5,9,-5,1,CLOUDY
1-1-1-1,2020,7,6,43,20,5,SUNNY
1-1-1-1,2020,7,7,13,3,1,CLOUDY
1-1-1-1,2020,7,8,47,10,5,SNOWY
1-1-1-1,2020,7,9,0,-10,12,SNOWY
1-1-1-1,2020,7,10,48,-9,5,CLOUDY
1-1-1-1,2020,7,11,22,18,1,RAINY
1-1-1-1,2020,7,12,28,-7,10,RAINY
1-1-1-1,2020,7,13,14,6,4,CLOUDY
1-1-1-1,2020,7,14,24,2,11,SNOWY
1-1-1-1,2020,7,15,32,24,9,SUNNY
1-1-1-1,2020,7,16,29,10,0,SNOWY
1-1-1-1,2020,7,17,46,8,4,SUNNY
1-1-1-1,2020,7,18,-1,-6,1,CLOUDY
1-1-1-1,2020,7,19,28,-10,7,CLOUDY
1-1-1-1,2020,7,20,44,-3,0,SNOWY
1-1-1-1,2020,7,21,22,4,10,CLOUDY
1-1-1-1,2020,7,22,40,1,9,SNOWY
1-1-1-1,2020,7,23,35,15,0,RAINY
1-1-1-1,2020,7,24,24,21,8,SNOWY
1-1-1-1,2020,7,25,41,18,9,SUNNY
1-1-1-1,2020,7,26,19,-5,1,SUNNY
1-1-1-1,2020,7,27,42,7,7,SNOWY
1-1-1-1,2020,7,28,12,10,6,CLOUDY
1-1-1-1,2020,8,1,17,5,11,SUNNY
1-1-1-1,2020,8,2,22,12,10,CLOUDY
1-1-1-1,2020,8,3,33,14,3,SUNNY
1-1-1-1,2020,8,4,11,11,5,RAINY
1-1-1-1,2020,8,5,30,27,3,SUNNY
1-1-1-1,2020,8,6,1,-9,7,SNOWY
1-1-1-1,2020,8,7,8,5,9,SNOWY
1-1-1-1,2020,8,8,47,37,1,CLOUDY
1-1-1-1,2020,8,9,29,-8,0,SNOWY
1-1-1-1,2020,8,10,-6,-7,2,SNOWY
1-1-1-1,2020,8,11,29,19,7,SUNNY
1-1-1-1,2020,8,12,-4,-5,2,SUNNY
1-1-1-1,2020,8,13,42,-3,12,CLOUDY
1-1-1-1,2020,8,14,18,16,2,SUNNY
1-1-1-1,2020,8,15,-3,-10,8,CLOUDY
1-1-1-1,2020,8,16,35,20,12,RAINY
1-1-1-1,2020,8,17,3,-10,5,RAINY
1-1-1-1,2020,8,18,-3,-4,7,CLOUDY
1-1-1-1,2020,8,19,7,3,2,RAINY
1-1-1-1,2020,8,20,12,1,5,CLOUDY
1-1-1-1,2020,8,21,-6,-10,7,CLOUDY
1-1-1-1,2020,8,22,8,-3,7,SUNNY
1-1-1-1,2020,8,23,2,-3,6,RAINY
1-1-1-1,2020,8,24,18,7,2,CLOUDY
1-1-1-1,2020,8,25,18,2,6,SNOWY
1-1-1-1,2020,8,26,-8,-9,9,SNOWY
1-1-1-1,2020,8,27,32,2,8,SNOWY
1-1-1-1,2020,8,28,-1,-8,8,CLOUDY
1-1-1-1,2020,9,1,23,15,11,CLOUDY
1-1-1-1,2020,9,2,-1,-2,0,RAINY
1-1-1-1,2020,9,3,42,20,12,CLOUDY
1-1-1-1,2020,9,4,36,31,12,CLOUDY
1-1-1-1,2020,9,5,24,4,10,SUNNY
1-1-1-1,2020,9,6,6,-8,5,SUNNY
1-1-1-1,2020,9,7,-6,-10,8,CLOUDY
1-1-1-1,2020,9,8,-8,-10,7,SUNNY
1-1-1-1,2020,9,9,37,14,12,SNOWY
1-1-1-1,2020,9,10,3,-1,4,SUNNY
1-1-1-1,2020,9,11,30,23,7,SNOWY
1-1-1-1,2020,9,12,25,12,8,SUNNY
1-1-1-1,2020,9,13,-5,-9,5,SUNNY
1-1-1-1,2020,9,14,-6,-8,7,SUNNY
1-1-1-1,2020,9,15,9,-5,0,SNOWY
1-1-1-1,2020,9,16,8,-5,12,SNOWY
1-1-1-1,2020,9,17,-4,-9,0,RAINY
1-1-1-1,2020,9,18,-3,-7,0,RAINY
1-1-1-1,2020,9,19,32,6,8,SUNNY
1-1-1-1,2020,9,20,23,15,6,SNOWY
1-1-1-1,2020,9,21,41,1,7,RAINY
1-1-1-1,2020,9,22,49,36,0,SUNNY
1-1-1-1,2020,9,23,46,8,4,SNOWY
1-1-1-1,2020,9,24,1,-9,1,SUNNY
1-1-1-1,2020,9,25,43,31,2,SNOWY
1-1-1-1,2020,9,26,35,21,10,RAINY
1-1-1-1,2020,9,27,35,20,6,SUNNY
1-1-1-1,2020,9,28,19,-9,1,CLOUDY
1-1-1-1,2020,10,1,16,-9,6,SNOWY
1-1-1-1,2020,10,2,34,12,5,SNOWY
1-1-1-1,2020,10,3,42,10,11,SNOWY
1-1-1-1,2020,10,4,0,-1,7,CLOUDY
1-1-1-1,2020,10,5,12,-4,4,SNOWY
1-1-1-1,2020,10,6,11,-2,5,RAINY
1-1-1-1,2020,10,7,49,6,5,SUNNY
1-1-1-1,2020,10,8,18,8,4,SUNNY
1-1-1-1,2020,10,9,22,11,6,RAINY
1-1-1-1,2020,10,10,17,-1,2,RAINY
1-1-1-1,2020,10,11,16,0,7,RAINY
1-1-1-1,2020,10,12,30,10,9,SUNNY
1-1-1-1,2020,10,13,27,14,11,SNOWY
1-1-1-1,2020,10,14,45,1,0,CLOUDY
1-1-1-1,2020,10,15,32,12,7,SNOWY
1-1-1-1,2020,10,16,37,-6,12,CLOUDY
1-1-1-1,2020,10,17,-1,-2,0,RAINY
1-1-1-1,2020,10,18,-6,-8,5,SNOWY
1-1-1-1,2020,10,19,36,1,11,CLOUDY
1-1-1-1,2020,10,20,38,14,11,SNOWY
1-1-1-1,2020,10,21,24,7,8,SNOWY
1-1-1-1,2020,10,22,6,6,12,RAINY
1-1-1-1,2020,10,23,42,13,10,SNOWY
1-1-1-1,2020,10,24,-8,-9,0,RAINY
1-1-1-1,2020,10,25,-8,-9,9,CLOUDY
1-1-1-1,2020,10,26,-8,-10,8,CLOUDY
1-1-1-1,2020,10,27,30,2,7,SNOWY
1-1-1-1,2020,10,28,27,-7,6,CLOUDY
1-1-1-1,2020,11,1,37,10,8,SUNNY
1-1-1-1,2020,11,2,38,14,5,CLOUDY
1-1-1-1,2020,11,3,-9,-10,3,RAINY
1-1-1-1,2020,11,4,-7,-9,5,CLOUDY
1-1-1-1,2020,11,5,4,-4,1,SNOWY
1-1-1-1,2020,11,6,33,5,2,SUNNY
1-1-1-1,2020,11,7,29,-1,5,RAINY
1-1-1-1,2020,11,8,0,-2,11,SNOWY
1-1-1-1,2020,11,9,21,11,2,SNOWY
1-1-1-1,2020,11,10,44,32,8,SNOWY
1-1-1-1,2020,11,11,-10,-10,5,RAINY
1-1-1-1,2020,11,12,3,-8,9,SUNNY
1-1-1-1,2020,11,13,32,-2,7,SUNNY
1-1-1-1,2020,11,14,-2,-8,11,CLOUDY
1-1-1-1,2020,11,15,29,6,5,RAINY
1-1-1-1,2020,11,16,50,36,1,SUNNY
1-1-1-1,2020,11,17,-5,-10,8,SUNNY
1-1-1-1,2020,11,18,50,-5,2,SUNNY
1-1-1-1,2020,11,19,20,12,9,RAINY
1-1-1-1,2020,11,20,14,-5,5,CLOUDY
1-1-1-1,2020,11,21,41,14,8,SUNNY
1-1-1-1,2020,11,22,39,17,1,RAINY
1-1-1-1,2020,11,23,16,-5,8,RAINY
1-1-1-1,2020,11,24,-10,-10,8,SUNNY
1-1-1-1,2020,11,25,-8,-10,0,RAINY
1-1-1-1,2020,11,26,12,9,9,SUNNY
1-1-1-1,2020,11,27,19,-10,11,SUNNY
1-1-1-1,2020,11,28,28,24,11,CLOUDY
1-1-1-1,2020,12,1,-7,-8,3,RAINY
1-1-1-1,2020,12,2,4,-10,0,SUNNY
1-1-1-1,2020,12,3,28,7,2,RAINY
1-1-1-1,2020,12,4,-3,-10,10,CLOUDY
1-1-1-1,2020,12,5,28,22,5,SUNNY
1-1-1-1,2020,12,6,17,10,10,SUNNY
1-1-1-1,2020,12,7,7,-6,2,RAINY
1-1-1-1,2020,12,8,13,-8,1,RAINY
1-1-1-1,2020,12,9,21,-7,4,SNOWY
1-1-1-1,2020,12,10,-6,-9,8,RAINY
1-1-1-1,2020,12,11,31,27,7,CLOUDY
1-1-1-1,2020,12,12,25,-1,3,SNOWY
1-1-1-1,2020,12,13,32,32,2,SNOWY
1-1-1-1,2020,12,14,12,-3,2,RAINY
1-1-1-1,2020,12,15,33,21,5,RAINY
1-1-1-1,2020,12,16,37,-9,12,SUNNY
1-1-1-1,2020,12,17,50,38,9,CLOUDY
1-1-1-1,2020,12,18,45,-10,6,CLOUDY
1-1-1-1,2020,12,19,22,22,12,SUNNY
1-1-1-1,2020,12,20,22,16,12,SUNNY
1-1-1-1,2020,12,21,40,18,5,SUNNY
1-1-1-1,2020,12,22,27,23,1,SNOWY
1-1-1-1,2020,12,23,18,-3,3,CLOUDY
1-1-1-1,2020,12,24,10,-1,12,RAINY
1-1-1-1,2020,12,25,-7,-9,4,RAINY
1-1-1-1,2020,12,26,-5,-8,5,SUNNY
1-1-1-1,2020,12,27,30,12,7,CLOUDY
1-1-1-1,2020,12,28,-2,-8,5,SUNNY
1-1-1-2,2020,1,1,-4,-9,4,SUNNY
1-1-1-2,2020,1,2,43,3,6,RAINY
1-1-1-2,2020,1,3,9,2,9,RAINY
1-1-1-2,2020,1,4,-8,-9,1,RAINY
1-1-1-2,2020,1,5,23,4,10,SNOWY
1-1-1-2,2020,1,6,45,12,8,SUNNY
1-1-1-2,2020,1,7,-5,-6,3,SUNNY
1-1-1-2,2020,1,8,1,-8,2,SNOWY
1-1-1-2,2020,1,9,38,12,9,SNOWY
1-1-1-2,2020,1,10,39,14,2,SNOWY
1-1-1-2,2020,1,11,35,1,4,SUNNY
1-1-1-2,2020,1,12,22,-3,12,SNOWY
1-1-1-2,2020,1,13,6,3,9,RAINY
1-1-1-2,2020,1,14,44,-10,8,RAINY
1-1-1-2,2020,1,15,32,26,5,CLOUDY
1-1-1-2,2020,1,16,42,26,6,SUNNY
1-1-1-2,2020,1,17,50,7,12,RAINY
1-1-1-2,2020,1,18,-8,-10,5,RAINY
1-1-1-2,2020,1,19,15,15,12,CLOUDY
1-1-1-2,2020,1,20,3,-1,12,SUNNY
1-1-1-2,2020,1,21,49,11,12,SUNNY
1-1-1-2,2020,1,22,25,25,2,RAINY
1-1-1-2,2020,1,23,-7,-8,11,SNOWY
1-1-1-2,2020,1,24,-9,-10,8,SNOWY
1-1-1-2,2020,1,25,-7,-9,12,RAINY
1-1-1-2,2020,1,26,26,11,1,SUNNY
1-1-1-2,2020,1,27,43,-3,10,SNOWY
1-1-1-2,2020,1,28,24,20,4,SUNNY
1-1-1-2,2020,2,1,46,38,1,SNOWY
1-1-1-2,2020,2,2,-8,-10,6,CLOUDY
1-1-1-2,2020,2,3,25,-2,2,SUNNY
1-1-1-2,2020,2,4,27,23,10,SNOWY
1-1-1-2,2020,2,5,-5,-8,12,CLOUDY
1-1-1-2,2020,2,6,30,27,7,SUNNY
1-1-1-2,2020,2,7,-10,-10,3,RAINY
1-1-1-2,2020,2,8,26,-6,12,CLOUDY
1-1-1-2,2020,2,9,50,-10,2,SNOWY
1-1-1-2,2020,2,10,45,36,6,SUNNY
1-1-1-2,2020,2,11,6,-2,2,SNOWY
1-1-1-2,2020,2,12,15,6,9,SUNNY
1-1-1-2,2020,2,13,0,-5,1,SNOWY
1-1-1-2,2020,2,14,3,-5,6,SNOWY
1-1-1-2,2020,2,15,32,6,7,SNOWY
1-1-1-2,2020,2,16,25,-10,11,RAINY
1-1-1-2,2020,2,17,20,17,7,RAINY
1-1-1-2,2020,2,18,38,22,6,SUNNY
1-1-1-2,2020,2,19,-7,-9,2,CLOUDY
1-1-1-2,2020,2,20,6,-8,4,SUNNY
1-1-1-2,2020,2,21,7,-1,4,CLOUDY
1-1-1-2,2020,2,22,45,7,6,SNOWY
1-1-1-2,2020,2,23,7,-4,9,RAINY
1-1-1-2,2020,2,24,28,8,7,CLOUDY
1-1-1-2,2020,2,25,47,14,3,SUNNY
1-1-1-2,2020,2,26,46,8,3,SUNNY
1-1-1-2,2020,2,27,-3,-8,11,RAINY
1-1-1-2,2020,2,28,20,16,5,SUNNY
1-1-1-2,2020,3,1,-8,-10,11,RAINY
1-1-1-2,2020,3,2,35,6,11,SUNNY
1-1-1-2,2020,3,3,19,-4,8,SUNNY
1-1-1-2,2020,3,4,11,11,1,RAINY
1-1-1-2,2020,3,5,29,14,7,CLOUDY
1-1-1-2,2020,3,6,16,16,8,SUNNY
1-1-1-2,2020,3,7,-10,-10,3,RAINY
1-1-1-2,2020,3,8,21,8,10,CLOUDY
1-1-1-2,2020,3,9,4,-8,2,RAINY
1-1-1-2,2020,3,10,35,8,4,SUNNY
1-1-1-2,2020,3,11,14,11,12,SUNNY
1-1-1-2,2020,3,12,44,33,5,SUNNY
1-1-1-2,2020,3,13,30,26,3,SUNNY
1-1-1-2,2020,3,14,-10,-10,0,SNOWY
1-1-1-2,2020,3,15,35,3,0,CLOUDY
1-1-1-2,2020,3,16,43,-1,7,CLOUDY
1-1-1-2,2020,3,17,40,13,12,SUNNY
1-1-1-2,2020,3,18,40,37,12,RAINY
1-1-1-2,2020,3,19,18,-2,4,SUNNY
1-1-1-2,2020,3,20,13,0,12,SNOWY
1-1-1-2,2020,3,21,40,-4,8,SUNNY
1-1-1-2,2020,3,22,18,-6,3,CLOUDY
1-1-1-2,2020,3,23,-9,-10,11,SUNNY
1-1-1-2,2020,3,24,36,8,10,SUNNY
1-1-1-2,2020,3,25,27,11,1,SUNNY
1-1-1-2,2020,3,26,16,2,10,SUNNY
1-1-1-2,2020,3,27,28,9,7,CLOUDY
1-1-1-2,2020,3,28,40,-1,11,RAINY
1-1-1-2,2020,4,1,44,8,6,SUNNY
1-1-1-2,2020,4,2,5,-9,5,SUNNY
1-1-1-2,2020,4,3,37,20,8,SUNNY
1-1-1-2,2020,4,4,29,12,12,CLOUDY
1-1-1-2,2020,4,5,35,19,3,RAINY
1-1-1-2,2020,4,6,13,-1,7,SUNNY
1-1-1-2,2020,4,7,27,27,6,CLOUDY
1-1-1-2,2020,4,8,22,-10,2,SNOWY
1-1-1-2,2020,4,9,22,-2,11,CLOUDY
1-1-1-2,2020,4,10,31,22,0,SUNNY
1-1-1-2,2020,4,11,18,6,0,RAINY
1-1-1-2,2020,4,12,-1,-10,0,CLOUDY
1-1-1-2,2020,4,13,0,-3,11,SUNNY
1-1-1-2,2020,4,14,27,-2,2,RAINY
1-1-1-2,2020,4,15,-3,-9,6,SUNNY
1-1-1-2,2020,4,16,36,11,7,SUNNY
1-1-1-2,2020,4,17,-9,-10,10,SUNNY
1-1-1-2,2020,4,18,26,15,9,SUNNY
1-1-1-2,2020,4,19,-6,-9,1,SUNNY
1-1-1-2,2020,4,20,-5,-9,9,SUNNY
1-1-1-2,2020,4,21,-2,-4,12,SUNNY
1-1-1-2,2020,4,22,36,-8,6,RAINY
1-1-1-2,2020,4,23,24,13,0,SNOWY
1-1-1-2,2020,4,24,-9,-10,4,SUNNY
1-1-1-2,2020,4,25,18,-10,2,SNOWY
1-1-1-2,2020,4,26,1,-3,5,SUNNY
1-1-1-2,2020,4,27,14,12,6,RAINY
1-1-1-2,2020,4,28,21,12,6,SUNNY
1-1-1-2,2020,5,1,18,2,6,SUNNY
1-1-1-2,2020,5,2,6,-1,9,SUNNY
1-1-1-2,2020,5,3,5,-10,3,SNOWY
1-1-1-2,2020,5,4,-5,-10,1,CLOUDY
1-1-1-2,2020,5,5,37,-5,6,SNOWY
1-1-1-2,2020,5,6,17,-4,9,CLOUDY
1-1-1-2,2020,5,7,12,12,8,RAINY
1-1-1-2,2020,5,8,35,7,3,SNOWY
1-1-1-2,2020,5,9,5,-5,6,SNOWY
1-1-1-2,2020,5,10,36,35,6,CLOUDY
1-1-1-2,2020,5,11,0,-8,8,RAINY
1-1-1-2,2020,5,12,3,-3,3,CLOUDY
1-1-1-2,2020,5,13,3,1,11,RAINY
1-1-1-2,2020,5,14,49,33,1,SUNNY
1-1-1-2,2020,5,15,45,31,4,CLOUDY
1-1-1-2,2020,5,16,34,19,3,SNOWY
1-1-1-2,2020,5,17,35,-8,7,RAINY
1-1-1-2,2020,5,18,10,1,1,RAINY
1-1-1-2,2020,5,19,49,1,9,RAINY
1-1-1-2,2020,5,20,44,26,5,CLOUDY
1-1-1-2,2020,5,21,21,-10,0,SNOWY
1-1-1-2,2020,5,22,-6,-7,1,RAINY
1-1-1-2,2020,5,23,50,9,9,RAINY
1-1-1-2,2020,5,24,21,3,8,SUNNY
1-1-1-2,2020,5,25,-8,-9,12,RAINY
1-1-1-2,2020,5,26,45,6,7,SUNNY
1-1-1-2,2020,5,27,27,17,4,SUNNY
1-1-1-2,2020,5,28,42,-3,4,CLOUDY
1-1-1-2,2020,6,1,30,-1,1,SUNNY
1-1-1-2,2020,6,2,-4,-9,9,RAINY
1-1-1-2,2020,6,3,-6,-9,7,RAINY
1-1-1-2,2020,6,4,-8,-9,4,SUNNY
1-1-1-2,2020,6,5,3,-2,8,SUNNY
1-1-1-2,2020,6,6,8,-7,1,SUNNY
1-1-1-2,2020,6,7,35,30,0,SNOWY
1-1-1-2,2020,6,8,33,7,5,RAINY
1-1-1-2,2020,6,9,15,3,8,SNOWY
1-1-1-2,2020,6,10,47,6,7,RAINY
1-1-1-2,2020,6,11,29,27,1,CLOUDY
1-1-1-2,2020,6,12,19,-9,3,RAINY
1-1-1-2,2020,6,13,12,8,6,CLOUDY
1-1-1-2,2020,6,14,30,26,11,CLOUDY
1-1-1-2,2020,6,15,-1,-5,7,RAINY
1-1-1-2,2020,6,16,24,17,9,RAINY
1-1-1-2,2020,6,17,-10,-10,12,SNOWY
1-1-1-2,2020,6,18,14,-4,5,SUNNY
1-1-1-2,2020,6,19,-7,-10,7,SNOWY
1-1-1-2,2020,6,20,35,13,5,RAINY
1-1-1-2,2020,6,21,20,8,4,SUNNY
1-1-1-2,2020,6,22,43,40,7,CLOUDY
1-1-1-2,2020,6,23,49,42,6,SUNNY
1-1-1-2,2020,6,24,-8,-10,10,SNOWY
1-1-1-2,2020,6,25,10,3,0,SUNNY
1-1-1-2,2020,6,26,2,-10,10,RAINY
1-1-1-2,2020,6,27,36,-7,9,SNOWY
